place_id,name,il,district,address,website,rating,review_count,detected,server_header,x_powered_by,status_code,error,first_seen,last_seen,is_new
ChIJ70EFvlCZiEARjIPbiGMxQGU,Bafra Diş Hekimi Emir Altındeğer,Samsun,Bafra,"Cumhuriyet, Cumhuriyet Cd. No:11, 55400 Bafra/Samsun, Türkiye",,5,11,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJc_WPcQCZiEARbtyqsblb9gE,Bafra Diş Hekimi Emir Altındeğer,Samsun,Bafra,"Cumhuriyet, Cumhuriyet Cd. No:11, 55400 Bafra/Samsun, Türkiye",,,,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJpR6jANmZiEARrK7pz2Ygcms,Bafra Diş Hekimi Nuri Ecrin Bıçakcı,Samsun,Bafra,"Tabakhane, Tekel Cd. No:1, 55400 Bafra/Samsun, Türkiye",,5,23,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJ7csVUBiZiEAR7JgB7-7RrvA,Bafra Ortopedi Ortez ve Protez Uygulama Merkezi,Samsun,Bafra,"Tabakhane, Güven Sk No:24/A, 55400 Bafra/Samsun, Türkiye",http://www.bafraortopedi.com/,5,8,Bilinmiyor / özel kod,Apache,,200,,2026-07-03,2026-07-06,False
ChIJ07F13DCYiEAR249Z9ZJi3Yo,Bafra State Hospital,Samsun,Bafra,"İshaklı, Bayrak Sk. No:14, 55400 Bafra/Samsun, Türkiye",https://bafradh.saglik.gov.tr/,3.5,224,,,,,"HTTPSConnectionPool(host='bafradh.saglik.gov.tr', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='bafradh.saglik.gov.tr', port=443) at 0x7f7b70374450>, 'Connection to bafradh.saglik.gov.tr timed out. (connect timeout=10)'))",2026-07-03,2026-07-06,False
ChIJIUxBqrSZiEAReEdra2EEfCk,CarrefourSA,Samsun,Bafra,"Emirefendi Mah. Samsun Cad. No:103, Emirefendi, 55400 Bafra/Samsun, Türkiye",https://www.carrefoursa.com/,4,395,Bilinmiyor / özel kod,cloudflare,,403,,2026-07-03,2026-07-03,False
ChIJQbPvaDGYiEARVDsDM9lIasI,Diş Hekimi Mustafa Biren,Samsun,Bafra,"Tütüncü apartmanı, Cumhuriyet, Cumhuriyet Cd. kat1, 55400 Bafra/Samsun, Türkiye",,3.3,7,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJvf4gtzaYiEARFiZ4Bv3xyVM,Diş Hekimi Münire Pehlivan,Samsun,Bafra,"Tabakhane, Atatürk Blv. No:25, 55400 Bafra/Samsun, Türkiye",,,,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJSZe7lPaCpgkRTfTXJZHIU9Q,Diş Hekimi Sümeyra Saçlı,Samsun,Bafra,"Cumhuriyet, Cumhuriyet Cd. no:7, 55400 Bafra/Samsun, Türkiye",,5,6,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJKU719q-ZiEARltPEemBgN_w,Diş Hekimi onur ışık,Samsun,Bafra,"Tabakhane, Güven Sk no:12/1, 55400 Bafra/Samsun, Türkiye",,4,6,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJqc7xsjaYiEAR4jQYyLRwYuw,Dişhekimi Ali Alemisoğlu,Samsun,Bafra,"Tabakhane, Hacı İzzet Ağa Sk. No:1, 55400 Bafra/Samsun, Türkiye",,,,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJNwzVp7F5iEARdPU9t247zMc,Dr. Ahmet Isildak,Samsun,Bafra,"Kızılırmak, Alaçam Cd. No:5, 55400 Bafra/Samsun, Türkiye",,,,Website yok,,,,,2026-07-03,2026-07-06,False
